Filename,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Closest Text Type,corpus,color
0ElELrg46HQ,39.27,2.75,-1.28,-2.46,-1.17,1.33,Intimate interpersonal interaction,Y,1
0eLGCVVvoQ4,31.04,-1.49,-0.56,1.62,-2.55,1.36,Informational interaction,Y,1
0EMRtxDY-_Q,13.75,-1.8,-0.61,-0.41,-0.07,0.74,Involved persuasion,Y,1
0eND1p5JHxM,14.53,-4.86,3.16,5.37,-0.49,-2.62,Involved persuasion,Y,1
0eQMIVDv8Dc,-5.57,-3.68,-1.4,-5.83,-2.04,-2.93,General narrative exposition,Y,1
0eSV6yz-Whg,23.68,-4.55,-1.64,-1.28,-1.87,1.76,Informational interaction,Y,1
0eVDTVT2ZG8,27.85,-3.53,-1.92,-2.0,-0.9,-0.98,Informational interaction,Y,1
0EylCvrTS3A,39.45,-2.53,-0.14,5.33,-3.92,-1.14,Intimate interpersonal interaction,Y,1
0ezySiy0XGE,4.3,-4.73,-1.01,0.92,-2.56,4.34,Involved persuasion,Y,1
0F8CKpe4UHc,-4.16,0.23,-1.47,-2.7,0.59,2.93,General narrative exposition,Y,1
0FA8sRhClWk,1.4,-3.29,-1.54,-1.74,-3.74,0.0700000000000001,Involved persuasion,Y,1
0FcE4k6_yOE,35.33,-4.53,-2.43,2.75,-1.92,-0.33,Informational interaction,Y,1
0fcpi1Yje1A,24.78,-4.88,-2.85,-1.84,-2.84,0.95,Informational interaction,Y,1
0fG0kBIA01s,6.36,-3.82,-1.86,-6.78,-2.55,1.55,Involved persuasion,Y,1
0fgPojOYnHY,-22.23,3.17,6.02,-7.85,4.52,0.02,Learned exposition,Y,1
0fI8XS9W5ek,21.96,-4.05,-0.42,0.97,-2.94,-1.12,Informational interaction,Y,1
0FQCGBtBAwA,22.58,-2.32,-2.8,7.4,-1.66,1.96,Informational interaction,Y,1
0frDNGgW674,20.47,-2.46,-2.69,-0.66,-2.23,1.26,Informational interaction,Y,1
0Fs-18Cu8ww,36.12,-3.05,-5.6,-3.11,2.14,-1.38,Informational interaction,Y,1
0fsFGKZKWJQ,24.23,-4.27,-3.48,5.84,0.14,1.74,Informational interaction,Y,1
0fsXiI0qEVE,17.75,-4.78,-0.49,6.89,1.21,0.69,Involved persuasion,Y,1
0FVnfBz9N-U,1.52,-3.27,4.92,2.77,2.21,-0.97,Involved persuasion,Y,1
0fYiNVRmOA4,14.82,-5.49,-0.87,-0.39,-3.5,-0.19,Involved persuasion,Y,1
0g-_KZC89lE,24.37,-1.68,-2.5,-0.61,-3.27,-0.0700000000000001,Informational interaction,Y,1
0g0XMIz8V4w,18.64,-4.77,-2.69,-3.85,-2.09,3.62,Informational interaction,Y,1
0g9DIVRJudQ,27.72,-4.3,-2.19,3.81,-2.43,1.95,Informational interaction,Y,1
0gC-h7Yqka4,18.67,-5.28,1.53,7.98,-1.46,0.24,Involved persuasion,Y,1
0gDX-XJK1Ck,21.04,-2.79,-2.86,-2.33,-3.05,-2.85,Informational interaction,Y,1
0GFzZE-1DJ8,29.17,-3.85,-0.46,0.7,-2.56,0.16,Informational interaction,Y,1
0Ghjlt1GvSg,18.54,-5.05,-2.62,0.58,-2.13,1.19,Informational interaction,Y,1
0GO4Qu4Pcx8,-0.54,-0.14,-1.17,1.19,-1.54,3.21,Involved persuasion,Y,1
0GqdBm2cRDM,23.84,-3.53,-1.26,2.35,-1.12,-1.33,Informational interaction,Y,1
0gqlDoKYk38,18.66,-3.09,-1.15,-1.97,-2.59,0.47,Informational interaction,Y,1
0GTZ4nhmrPM,19.09,-5.73,4.44,0.23,-1.49,-1.36,Informational interaction,Y,1
0gVOM2HnZoA,9.43,1.71,-0.3,0.949999999999999,-1.19,-2.14,Involved persuasion,Y,1
0GVQX3D3V5c,8.26,-1.42,-3.55,-5.48,-3.52,1.67,Imaginative narrative,Y,1
0GZ4AnHlBXE,-2.47,-1.0,2.39,-4.42,2.2,0.6,General narrative exposition,Y,1
0h6vyhfPyHI,16.34,-2.28,0.54,2.3,-2.68,-1.86,Involved persuasion,Y,1
0h55e2XDjaE,16.36,-0.42,-2.54,-1.22,-1.44,-1.36,Involved persuasion,Y,1
0helgeWkIkI,-9.05,4.2,1.26,-0.63,-1.36,-2.09,General narrative exposition,Y,1
0HERBhxGwTg,4.17,-1.26,-3.79,2.41,-0.13,-0.71,Involved persuasion,Y,1
0HFx6bZ5Ib0,20.96,-3.5,-4.18,0.2,-1.24,1.85,Informational interaction,Y,1
0HGI3nAQHwE,22.88,-3.29,-0.11,1.25,-1.16,2.38,Informational interaction,Y,1
0HKxbFydPnI,29.23,-1.42,-0.68,1.35,-2.55,1.5,Informational interaction,Y,1
0HN_DTmz0cg,22.89,-4.36,-3.76,-3.69,-3.09,0.17,Informational interaction,Y,1
0Hoj3fsAN74,1.91,-6.66,3.84,2.62,3.28,4.14,Involved persuasion,Y,1
0hU3RcktNo0,27.09,-2.86,-2.01,-2.37,-2.8,1.74,Informational interaction,Y,1
0hwAd94LLao,16.17,-0.35,-2.9,-1.47,-1.19,3.67,Involved persuasion,Y,1
0i0_u0jyM2Y,25.95,0.98,-3.8,-0.15,-1.2,1.26,Informational interaction,Y,1
0i4z5tqRzPg,10.1,-3.57,-1.72,0.59,-1.69,1.57,Involved persuasion,Y,1
0iBiFw66OfQ,11.91,-2.6,0.0200000000000002,-4.25,-2.81,1.36,Involved persuasion,Y,1
0ibJp8TMAVI,31.07,-4.01,-4.22,-0.52,-0.74,7.6,Informational interaction,Y,1
0IBtVPIEFT8,31.26,-3.34,-4.43,2.62,-1.92,-1.93,Informational interaction,Y,1
0ieHscEnE_s,19.93,-2.08,-1.16,-0.14,-1.72,2.69,Informational interaction,Y,1
0IlCA46D534,31.09,-2.45,-1.76,-0.12,-0.83,-1.0,Informational interaction,Y,1
0IlEIQH8uYk,10.51,-3.51,0.0300000000000005,-4.85,-3.3,-1.14,Involved persuasion,Y,1
0ILS_evboqg,26.26,-3.28,-0.76,-5.65,-1.23,0.09,Informational interaction,Y,1
0io_iePzyy8,14.01,-1.13,-1.45,-0.0699999999999998,-2.02,4.26,Involved persuasion,Y,1
0Iqg4lB87rQ,27.31,0.79,-1.87,4.11,-2.65,1.74,Informational interaction,Y,1
0IVo2BKgasc,5.54,-1.25,-2.57,1.05,5.96,-0.21,Involved persuasion,Y,1
-0IWj-9UvKU,24.8,-5.43,0.32,6.28,-3.92,0.2,Informational interaction,Y,1
0j4sDHxakMk,16.53,-4.63,-1.1,-1.97,-2.45,-0.32,Involved persuasion,Y,1
0J23e5TJbZU,14.14,-2.72,-0.950000000000001,0.15,-2.24,-0.81,Involved persuasion,Y,1
0j83HfIOWSY,2.17,-2.95,-5.57,-3.45,-2.39,-1.64,Situated reportage,Y,1
0JcjDK9GiVg,15.09,-3.57,-0.71,0.0699999999999996,-2.64,-1.14,Involved persuasion,Y,1
0jEKi0KDf9w,15.96,-3.43,-1.89,-0.98,-2.92,4.5,Involved persuasion,Y,1
0JF92h6me8A,19.04,0.0800000000000001,-0.44,-2.4,-2.81,1.07,Informational interaction,Y,1
0jHn3yx5MqU,19.83,-0.0599999999999999,-1.46,1.53,-0.71,0.31,Informational interaction,Y,1
0JrsmTSyMd8,45.87,6.24,-0.5,6.85,-3.2,-1.21,Intimate interpersonal interaction,Y,1
0k9wIsKKgqo,-12.77,-2.01,2.77,-1.56,2.67,-1.29,General narrative exposition,Y,1
0ka9WBEijhk,15.2,-2.56,1.32,-0.93,0.8,-0.77,Involved persuasion,Y,1
0kAgz1Q-x20,21.1,-2.66,0.61,2.56,-1.74,4.2,Informational interaction,Y,1
0kclHsGACJM,17.98,-5.72,-3.94,3.32,-0.3,2.3,Informational interaction,Y,1
0KfT4r3lnbk,10.17,-2.41,-4.45,-0.4,2.27,2.92,Involved persuasion,Y,1
-0Klj55WBvY,15.08,-0.78,-3.8,-1.19,-2.08,2.19,Involved persuasion,Y,1
0KLKCPgNSUk,8.91,-2.25,-4.41,-1.3,0.44,-0.02,Involved persuasion,Y,1
0KM_Bl8teZE,28.13,-2.25,-2.61,3.81,5.51,1.0,Informational interaction,Y,1
0ks9fnq_OfQ,12.47,-2.63,-0.96,1.45,-1.49,-2.95,Involved persuasion,Y,1
0ktuADz3KBM,-2.65,-2.77,-2.69,-3.55,-2.12,-1.52,General narrative exposition,Y,1
0kuOmN6j75k,11.21,0.54,2.14,0.74,-0.14,0.81,Involved persuasion,Y,1
0l1kanYWBbA,34.25,-1.25,-3.76,-2.51,-2.97,0.55,Informational interaction,Y,1
0L2V_LLFVvY,5.95,6.15,-1.37,6.37,5.98,1.52,Imaginative narrative,Y,1
0L4BAo8-zOo,-0.36,11.83,-5.17,2.42,-1.68,1.64,Imaginative narrative,Y,1
0L87D5dRFko,21.89,-4.87,-2.91,2.73,-3.0,0.86,Informational interaction,Y,1
0La8WLv28qI,1.18,-3.66,2.26,3.69,3.21,1.57,Involved persuasion,Y,1
0lCzdoawv28,22.73,-4.92,-1.96,3.35,-1.43,3.12,Informational interaction,Y,1
0lgGXrEMzHI,24.92,-1.88,-0.61,-3.63,-1.48,-0.64,Informational interaction,Y,1
0LiVdMLlu4U,-3.78,5.24,3.28,-4.13,-3.17,0.1,General narrative exposition,Y,1
0LKJ6yy5Kqo,0.25,-6.0,2.46,3.58,0.26,-1.83,Involved persuasion,Y,1
0lNF_w2eySU,5.33,0.25,2.29,5.1,0.09,3.66,Involved persuasion,Y,1
0lP0ae44As4,14.73,-6.4,-0.72,0.0599999999999996,-2.76,3.55,Involved persuasion,Y,1
0LPt5s269os,16.86,5.49,-2.35,5.82,-3.2,-0.35,Imaginative narrative,Y,1
0LQlQZUgyqc,28.86,-0.42,-1.73,0.94,-2.28,2.93,Informational interaction,Y,1
0Lvlv5AYdZc,25.36,-1.77,-1.54,-2.59,-0.98,-0.43,Informational interaction,Y,1
0LY0FDoM4Rc,25.36,-3.33,-5.83,1.28,-2.04,1.1,Informational interaction,Y,1
0MB7Ikm5jlg,-5.85,-1.11,-3.2,-3.88,-2.45,-2.73,General narrative exposition,Y,1
0mfrJ9kHXOE,22.32,-1.22,-1.54,3.97,-1.89,-0.38,Informational interaction,Y,1
0MGZ8J1JsOU,33.81,-3.26,-1.41,0.370000000000001,-2.25,0.43,Informational interaction,Y,1
0-MJBgpRDtQ,5.07,-4.56,-0.8,4.39,2.21,2.36,Involved persuasion,Y,1
0mJBQpbWiYA,12.16,-3.75,0.91,-2.49,-1.33,4.12,Involved persuasion,Y,1
0m-jkhDuwws,21.48,-4.54,-3.49,1.66,-2.14,1.31,Informational interaction,Y,1
0mnUHjowQe0,3.46,-0.82,-2.65,-0.1,0.89,4.73,Involved persuasion,Y,1
0MO7iuB1Iow,27.49,-3.57,-0.35,-3.45,-3.62,1.01,Informational interaction,Y,1
0MprWWQILbc,13.42,-1.83,1.47,4.16,-0.74,1.38,Involved persuasion,Y,1
0MS8DlDW_gk,23.63,-5.03,-3.09,5.49,-1.29,0.0,Informational interaction,Y,1
0MSebC57mDs,24.56,1.3,-6.43,5.43,-2.65,-0.0900000000000001,Informational interaction,Y,1
0mUbmJ1-sNs,22.24,-2.49,-0.22,2.04,-2.06,-0.19,Informational interaction,Y,1
0mur9pf8ZII,18.99,-0.0300000000000001,-4.3,-0.48,-0.11,1.67,Informational interaction,Y,1
0MV42DBFV5g,22.57,-0.66,-1.85,-4.12,-1.27,2.28,Informational interaction,Y,1
0mvZ5zstXLA,25.43,-4.5,-1.47,2.79,-2.98,0.95,Informational interaction,Y,1
0N8X9q5Lr7o,32.44,-2.43,-2.52,0.0400000000000003,-3.16,0.32,Informational interaction,Y,1
0n9fWvMsjnA,21.13,-4.43,0.04,-1.2,-0.65,-0.93,Informational interaction,Y,1
0N9LMIWAxbI,27.86,-3.27,-2.19,-0.19,-2.13,1.19,Informational interaction,Y,1
0N12mIT5yOQ,-2.18,-2.51,-3.54,2.53,-0.67,-0.69,Involved persuasion,Y,1
0nAK1XAnAF4,18.83,-2.58,-3.07,-3.56,0.61,1.95,Informational interaction,Y,1
0NCx7PwBM1s,25.83,-1.78,-1.73,-3.06,-1.71,-1.04,Informational interaction,Y,1
0NIUrlIg7rg,17.12,0.92,-0.29,-2.69,-3.12,-0.97,Informational interaction,Y,1
0niV-oMvfUg,24.2,-3.88,-4.68,1.18,-1.02,3.17,Informational interaction,Y,1
0NIYk7k4Pek,18.24,-1.75,-3.06,4.2,0.67,2.23,Informational interaction,Y,1
0Nl4FHn3l3E,-0.470000000000001,0.0200000000000001,0.88,3.03,0.03,2.34,Involved persuasion,Y,1
0nLg-CvyB5w,20.9,-0.21,0.22,-0.68,-3.92,0.96,Informational interaction,Y,1
0NpRpeRKwHo,35.25,-0.12,0.0199999999999996,0.79,-2.73,0.88,Informational interaction,Y,1
0NQMAH6FQFo,20.97,-0.89,-3.29,-6.31,-3.92,2.88,Informational interaction,Y,1
0Nu7Z9AxGNg,46.52,-5.35,-4.11,-5.16,-3.23,-0.21,Intimate interpersonal interaction,Y,1
0nYDbhiX3hE,-5.98,1.89,-0.67,-4.23,0.1,1.15,General narrative exposition,Y,1
0O_mqRoKGNs,11.18,3.06,2.5,-1.89,-0.68,2.84,Involved persuasion,Y,1
0o3PfaQkm4M,21.27,-5.46,-3.41,3.52,-0.54,2.45,Informational interaction,Y,1
0O7gUlipfOI,39.33,-0.5,0.84,-6.19,-3.92,-0.14,Intimate interpersonal interaction,Y,1
0oA36oot910,-2.29,-0.18,-4.29,1.55,2.25,2.1,General narrative exposition,Y,1
0OaRPQIgDK8,28.17,-2.54,-4.44,-0.9,-3.01,0.97,Informational interaction,Y,1
0OAv4j5_ICU,18.58,-0.67,-0.59,4.16,0.28,2.29,Informational interaction,Y,1
0ocKk4XtZS4,18.35,-1.89,4.3,5.4,-0.12,-0.0800000000000001,Involved persuasion,Y,1
0oLRmKaWoZg,14.38,-1.77,-4.28,-2.04,-1.43,-1.16,Involved persuasion,Y,1
0orm6IvjhIQ,19.0,-1.18,-1.67,-3.3,-3.28,2.97,Informational interaction,Y,1
0orU8_1cwMQ,12.23,-5.69,-1.03,7.25,-0.17,0.7,Involved persuasion,Y,1
0OTQ39-SONs,15.96,-2.41,-5.35,-1.31,-3.92,1.72,Informational interaction,Y,1
0oWjLD6QWM4,12.03,2.06,-0.68,-0.47,-1.69,2.62,Imaginative narrative,Y,1
0ozdkNBgPrE,36.87,-3.14,-0.85,2.84,-1.91,0.24,Informational interaction,Y,1
0P2fEXNf6gM,21.88,-0.25,-1.98,-2.16,-2.55,2.78,Informational interaction,Y,1
0pCQ5sdrbzI,26.99,-2.13,-3.1,-2.13,-0.47,-0.28,Informational interaction,Y,1
0pH1ccEGJYE,-11.92,-4.3,9.51,1.61,0.73,0.33,Learned exposition,Y,1
0PhdQZmXNzc,12.15,4.61,3.54,10.04,-3.21,5.98,Involved persuasion,Y,1
0pHPYWM2uPY,6.74,-3.76,-2.21,1.85,1.47,3.96,Involved persuasion,Y,1
0PI1g4pNdaA,10.97,-4.48,-2.7,2.44,-3.18,1.98,Involved persuasion,Y,1
0PinE7ohJj8,19.96,-3.57,1.57,0.3,-2.24,3.81,Informational interaction,Y,1
0PKZjclDPxY,23.5,-3.56,-0.61,1.74,-3.12,-0.02,Informational interaction,Y,1
0pU_gqpmlKM,-7.69,1.98,0.44,2.66,2.82,0.35,General narrative exposition,Y,1
0q_MzfEGc3c,28.12,-3.27,-1.93,-2.94,-0.19,-1.81,Informational interaction,Y,1
0q2vSkg-cYY,11.47,-3.58,-1.73,0.15,-1.86,0.95,Involved persuasion,Y,1
0q6eCGPLMjw,6.74,4.15,2.44,-5.88,-0.73,3.2,Imaginative narrative,Y,1
0Q7Sl6f8hfA,11.39,-3.13,-3.59,1.24,1.29,0.03,Involved persuasion,Y,1
0q8LyY4r3oQ,25.8,-4.21,-2.61,-0.14,-0.31,0.62,Informational interaction,Y,1
0Q80gJA2Kao,8.9,-1.78,-2.48,-2.1,-2.31,-0.76,Involved persuasion,Y,1
0QbhNSjXx9I,27.89,-5.77,-3.26,5.08,1.18,1.78,Informational interaction,Y,1
0QDRJfJ5Jww,32.2,-1.21,-3.41,1.15,-2.5,-1.57,Informational interaction,Y,1
0QlaBGBvm9w,21.96,-2.39,-0.23,2.83,-3.29,1.59,Informational interaction,Y,1
0-QMOab7jNY,9.66,-2.68,-0.73,-1.03,-3.92,-1.14,Involved persuasion,Y,1
0QO2dMcQKzs,4.96,-3.32,7.0,3.52,2.62,4.5,Involved persuasion,Y,1
0qpcyVvV01E,-3.39,2.55,-3.76,0.41,8.43,0.0,General narrative exposition,Y,1
0QRWDwhRjiA,-13.86,-3.9,2.01,-3.17,1.3,-2.09,Learned exposition,Y,1
0qtFUgmRS88,-3.84,-0.88,1.02,-1.12,1.47,5.89,General narrative exposition,Y,1
0QwpQOAPp_0,23.94,-2.29,-2.86,-1.55,-2.22,1.53,Informational interaction,Y,1
0r3-FkUXoSQ,18.3,-4.25,-3.59,0.98,-0.24,0.78,Informational interaction,Y,1
0r8bCf8yyFg,-4.18,-3.01,-0.56,1.76,6.59,-0.33,General narrative exposition,Y,1
0r9ZCiw-p9Q,1.37,4.82,1.9,1.0,0.74,1.74,Imaginative narrative,Y,1
0-r278xtjXc,-7.89,-1.2,-2.42,-2.86,-1.63,-1.05,General narrative exposition,Y,1
0rCbfsuKdYw,9.68,-3.27,-1.67,-0.66,-1.73,1.02,Involved persuasion,Y,1
0RD9_-4ryVI,20.68,-2.83,-2.53,-4.42,-3.45,-0.33,Informational interaction,Y,1
0rDex2Itb8o,10.02,-3.71,-0.28,1.59,-1.01,3.19,Involved persuasion,Y,1
0rdvwFFkTNk,15.27,-4.49,-1.69,2.04,-0.99,1.2,Involved persuasion,Y,1
0rlCXKsfeH4,9.08,-2.62,-3.11,-1.04,-2.04,1.05,Involved persuasion,Y,1
0rNRUadRUy0,6.53,-2.29,0.88,5.0,0.89,-1.88,Involved persuasion,Y,1
0rQpbpinj00,-6.26,-1.73,6.94,-2.81,-1.26,-1.52,General narrative exposition,Y,1
0RrI7DIPjEM,5.25,-0.3,-1.38,0.11,-3.45,-1.31,Involved persuasion,Y,1
0rRmdy64xBk,31.05,-0.94,-3.5,-2.97,-2.54,0.95,Informational interaction,Y,1
0rUqxppUQbw,16.13,0.21,-4.12,-4.09,-2.74,0.91,Imaginative narrative,Y,1
0rw690D6UE8,16.45,-4.9,-1.67,10.85,1.86,3.09,Involved persuasion,Y,1
0S8MVpwabsM,12.99,-3.02,2.66,2.75,3.02,0.93,Involved persuasion,Y,1
0s29xmuMCF8,20.37,-3.6,-1.04,-0.86,-3.36,-1.47,Informational interaction,Y,1
0ScAFtCR9xU,21.68,-4.22,0.7,3.08,0.29,4.52,Informational interaction,Y,1
0seJDFTUODU,31.26,-4.28,-0.66,-2.16,-1.98,-0.76,Informational interaction,Y,1
0SfNNlc6a_E,17.92,-5.55,-3.53,0.52,-2.9,2.26,Informational interaction,Y,1
0sIc2p8otEE,-2.62,-3.07,1.35,2.92,-2.29,-0.11,Involved persuasion,Y,1
0sII4uqj48Q,-3.24,3.18,-1.75,2.86,2.08,2.71,General narrative exposition,Y,1
0SoXoGMmtPQ,7.38,-2.06,-3.04,0.11,-2.75,0.41,Involved persuasion,Y,1
0STwlwChCsw,10.99,-2.29,-1.44,4.6,-0.76,2.3,Involved persuasion,Y,1
0suo-yfbkII,-3.58,-2.35,0.21,0.66,0.22,-1.52,General narrative exposition,Y,1
0SXZIwDRu8A,-5.55,3.75,-0.76,0.98,0.44,-0.83,General narrative exposition,Y,1
0t2duMX9H1c,19.86,-4.67,-0.41,-1.37,-3.92,-2.19,Informational interaction,Y,1
0t3xS_Xvkhg,23.66,-3.53,0.0099999999999997,-2.86,-1.86,0.07,Informational interaction,Y,1
0t9-g2uz22E,39.69,0.47,-0.28,-4.72,-2.85,-1.33,Intimate interpersonal interaction,Y,1
0tah9vxSw1Y,3.09,2.37,0.37,-0.85,-1.68,-0.36,Imaginative narrative,Y,1
0Tchn8X4iqM,18.73,-0.93,-1.47,9.58,-2.38,4.93,Informational interaction,Y,1
0tCzzuN2XXg,3.55,2.95,1.1,0.46,0.26,0.8,Involved persuasion,Y,1
0TD7ujAdZUE,5.74,1.19,-0.0199999999999999,-0.0700000000000002,0.56,-0.7,Involved persuasion,Y,1
0tFwwPa_u98,25.52,-3.51,-1.99,-3.24,-1.49,2.1,Informational interaction,Y,1
0tkE3i4Ui8A,21.21,-3.19,-1.29,1.57,-1.1,5.24,Informational interaction,Y,1
0TKQXeTx6_U,24.7,-1.46,-3.17,3.76,-0.41,1.36,Informational interaction,Y,1
0TMnUHnHnPQ,-0.76,1.87,-1.57,4.53,1.95,4.19,Involved persuasion,Y,1
0TWWrEIN-_4,28.53,-2.81,-3.33,-0.14,-2.57,4.88,Informational interaction,Y,1
0TyXFnKtVnk,19.53,-3.32,2.33,-2.36,-2.34,0.69,Informational interaction,Y,1
0U5sQenFC_I,20.52,-2.98,-2.67,-3.86,-3.05,1.45,Informational interaction,Y,1
0U5wKr9T0Cs,29.95,4.15,-2.3,-3.48,-3.29,-3.0,Informational interaction,Y,1
0u8rLFTEHWw,27.01,-2.24,-0.73,3.75,-3.38,-0.52,Informational interaction,Y,1
0uFxTOi-2SA,17.85,-2.85,-4.56,2.64,-1.14,3.53,Informational interaction,Y,1
